Unexplained	Phylogeny	TF	rank
0	100	ENSMUSG00000005148_LINE292_Klf5_I	74
0	100	ENSMUSG00000006587_LINE298_Snai3_I	75
0	100	ENSMUSG00000018678_LINE317_Sp2_I	76
0	100	ENSMUSG00000018750_LINE318_Zbtb4_I	77
0	100	ENSMUSG00000020453_LINE325_Patz1_I	78
0	100	ENSMUSG00000022228_LINE337_Zfp187_D	79
0	100	ENSMUSG00000022508_LINE342_Bcl6_D_N1	80
0	100	ENSMUSG00000023902_LINE353_Zscan10_D_N2	81
0	100	ENSMUSG00000025323_LINE369_Sp4_D_N2	82
0	100	ENSMUSG00000025821_LINE373_Zfp282_I	83
0	100	ENSMUSG00000026815_LINE378_Gfi1b_D	84
0	100	ENSMUSG00000028890_LINE392_Mtf1_D	85
0	100	ENSMUSG00000029127_LINE394_Zbtb49_I	86
0	100	ENSMUSG00000031079_LINE417_Zfp300_D	87
0	100	ENSMUSG00000033730_LINE430_Egr3_D_N1	88
0	100	ENSMUSG00000033730_LINE431_Egr3_D_N1	89
0	100	ENSMUSG00000035529_LINE447_Prdm4_I	90
0	100	ENSMUSG00000038151_LINE465_Prdm1_I	91
0	100	ENSMUSG00000038418_LINE467_Egr1_D_N3	92
0	100	ENSMUSG00000038418_LINE470_Egr1_D_N1	93
0	100	ENSMUSG00000038560_LINE471_Sp6_I	94
0	100	ENSMUSG00000039087_LINE476_Rreb1_I	95
0	100	ENSMUSG00000041483_LINE489_Zfp281_D_N1	96
0	100	ENSMUSG00000042821_LINE502_Snai1_D	97
0	100	ENSMUSG00000043290_LINE508_Zfp784_I	98
0	100	ENSMUSG00000044224_LINE513_Dnajc21_D	99
0	100	ENSMUSG00000046897_LINE544_Zfp740_D_N3	100
0	100	ENSMUSG00000048562_LINE568_Sp8_I	101
0	100	ENSMUSG00000049576_LINE578_Zfa_I	102
0	100	ENSMUSG00000053211_LINE623_Zfy1_I	103
0	100	ENSMUSG00000054272_LINE629_Zscan4c_D	104
0	100	ENSMUSG00000057895_LINE676_Zfp105_D	105
0	100	ENSMUSG00000060284_LINE704_Sp7_I	106
0	100	ENSMUSG00000061894_LINE719_Zscan20_D	107
0	100	ENSMUSG00000063659_LINE743_Zfp238_I	108
0	100	ENSMUSG00000068859_LINE776_Sp9_I	109
0	100	ENSMUSG00000070826_LINE795_Zscan4ps2_I	110
0	100	ENSMUSG00000070828_LINE796_Zscan4f_I	111
0	100	ENSMUSG00000071341_LINE808_Egr4_I	112
0	100	ENSMUSG00000071661_LINE810_Zbtb3_D	113
0	100	ENSMUSG00000073209_LINE821_Klf14_I	114
0	100	ENSMUSG00000075304_LINE853_Sp5_I	115
0	100	ENSMUSG00000075595_LINE855_Zfp652_D	116
0	100	ENSMUSG00000079509_LINE917_Zfx_D_N1	117
0	100	ENSMUSG00000061911_LINE940_Myt1l_I	118
0	100	ENSMUSG00000045518_LINE965_Onecut3_I	119
0	100	ENSMUSG00000029475_LINE974_Kdm2b_I	120
0	100	ENSMUSG00000014859_LINE988_E2f4_I	121
0	100	ENSMUSG00000016477_LINE989_E2f3_D_N1	122
0	100	ENSMUSG00000018983_LINE991_E2f2_D	123
0	100	ENSMUSG00000016087_LINE1018_Fli1_D	124
0	100	ENSMUSG00000032035_LINE1028_Ets1_D_N1	125
0	100	ENSMUSG00000040732_LINE1032_Erg_D_N1	126
0	100	ENSMUSG00000040857_LINE1034_Erf_I	127
0	100	XP_9117244_LINE5827_Gm4881_I_N1	128
0	100	XP_9117244_LINE5828_Gm4881_I_N1	129
0	100	ENSMUSG00000020950_LINE1044_Foxg1_D_N2	130
0	100	ENSMUSG00000020950_LINE1045_Foxg1_D_N1	131
0	100	ENSMUSG00000032998_LINE1055_Foxj3_D_N1	132
0	100	ENSMUSG00000032998_LINE1056_Foxj3_D_N1	133
0	100	ENSMUSG00000032998_LINE1058_Foxj3_D_N1	134
0	100	ENSMUSG00000033837_LINE1060_Foxh1_I	135
0	100	ENSMUSG00000038402_LINE1070_Foxf2_I	136
0	100	ENSMUSG00000042812_LINE1077_Foxf1a_I	137
0	100	ENSMUSG00000044167_LINE1080_Foxo1_D_N2	138
0	100	ENSMUSG00000067261_LINE1101_Foxd3_I	139
0	100	ENSMUSG00000070990_LINE1102_Foxe1_I	140
0	100	ENSMUSG00000078302_LINE1106_Foxd1_D	141
0	100	NP_0011820571_LINE9932_Gm5294_I_N10	142
0	100	NP_0011820571_LINE9878_Gm5294_I_N2	143
0	100	NP_0011820571_LINE9913_Gm5294_I_N7	144
0	100	NP_0011820571_LINE9851_Gm5294_I_N2	145
0	100	NP_0011820571_LINE9919_Gm5294_I_N2	146
0	100	NP_0011820571_LINE9848_Gm5294_I_N1	147
0	100	NP_0011820571_LINE9849_Gm5294_I_N1	148
0	100	NP_0011820571_LINE9858_Gm5294_I_N1	149
0	100	NP_0011820571_LINE9936_Gm5294_I_N1	150
0	100	NP_0320502_LINE10066_Foxl1_I_N10	151
0	100	NP_0320502_LINE10036_Foxl1_I_N8	152
0	100	NP_0320502_LINE10003_Foxl1_I_N2	153
0	100	NP_0320502_LINE10052_Foxl1_I_N5	154
0	100	NP_0320502_LINE9972_Foxl1_I_N2	155
0	100	NP_0320502_LINE10046_Foxl1_I_N3	156
0	100	NP_0320502_LINE10051_Foxl1_I_N3	157
0	100	NP_0320502_LINE10042_Foxl1_I_N2	158
0	100	NP_0320502_LINE9969_Foxl1_I_N1	159
0	100	NP_0320502_LINE9970_Foxl1_I_N1	160
0	100	NP_0320502_LINE9979_Foxl1_I_N1	161
0	100	NP_0320502_LINE9995_Foxl1_I_N1	162
0	100	NP_0320502_LINE10070_Foxl1_I_N1	163
0	100	NP_0320502_LINE10076_Foxl1_I_N1	164
0	100	NP_0320502_LINE10077_Foxl1_I_N1	165
0	100	ENSMUSG00000023333_LINE1127_Gcm1_D	166
0	100	ENSMUSG00000020656_LINE1130_Grhl1_I	167
0	100	ENSMUSG00000026380_LINE1133_Tcfcp2l1_D_N2	168
0	100	ENSMUSG00000000690_LINE1141_Hoxb6_D	169
0	100	ENSMUSG00000001103_LINE1145_Sebox_D	170
0	100	ENSMUSG00000001493_LINE1146_Meox1_D	171
0	100	ENSMUSG00000001510_LINE1149_Dlx3_D	172
0	100	ENSMUSG00000001815_LINE1155_Evx2_D	173
0	100	ENSMUSG00000001819_LINE1156_Hoxd13_D_N3	174
0	100	ENSMUSG00000005503_LINE1160_Evx1_D	175
0	100	ENSMUSG00000007946_LINE1168_Phox2a_D	176
0	100	ENSMUSG00000009739_LINE1170_Pou6f1_D_N2	177
0	100	ENSMUSG00000012520_LINE1173_Phox2b_D	178
0	100	ENSMUSG00000014603_LINE1174_Alx3_D	179
0	100	ENSMUSG00000014704_LINE1175_Hoxa2_D_N2	180
0	100	ENSMUSG00000018698_LINE1181_Lhx1_D	181
0	100	ENSMUSG00000018973_LINE1182_Hoxb1_I	182
0	100	ENSMUSG00000020871_LINE1187_Dlx4_D	183
0	100	ENSMUSG00000021099_LINE1190_Six6_D_N1	184
0	100	ENSMUSG00000021239_LINE1192_Vsx2_I	185
0	100	ENSMUSG00000021381_LINE1193_Barx1_D	186
0	100	ENSMUSG00000021469_LINE1194_Msx2_D	187
0	100	ENSMUSG00000021604_LINE1196_Irx4_D	188
0	100	ENSMUSG00000021685_LINE1197_Otp_D	189
0	100	ENSMUSG00000021972_LINE1199_Hmbox1_D	190
0	100	ENSMUSG00000022485_LINE1206_Hoxc5_D	191
0	100	ENSMUSG00000023443_LINE1211_Esx1_D	192
0	100	ENSMUSG00000024134_LINE1212_Six2_D	193
0	100	ENSMUSG00000024497_LINE1213_Pou4f3_D	194
0	100	ENSMUSG00000024986_LINE1216_Hhex_I	195
0	100	ENSMUSG00000025216_LINE1218_Lbx1_I	196
0	100	ENSMUSG00000025469_LINE1222_Msx3_D_N2	197
0	100	ENSMUSG00000025469_LINE1221_Msx3_D_N1	198
0	100	ENSMUSG00000026468_LINE1223_Lhx4_D_N2	199
0	100	ENSMUSG00000026586_LINE1226_Prrx1_D	200
0	100	ENSMUSG00000026686_LINE1227_Lmx1a_D	201
0	100	ENSMUSG00000026805_LINE1231_Barhl1_D_N1	202
0	100	ENSMUSG00000026890_LINE1232_Lhx6_D	203
0	100	ENSMUSG00000026934_LINE1233_Lhx3_D_N1	204
0	100	ENSMUSG00000027210_LINE1237_Meis2_D_N2	205
0	100	ENSMUSG00000027210_LINE1239_Meis2_D_N1	206
0	100	ENSMUSG00000027833_LINE1241_Shox2_D_N2	207
0	100	ENSMUSG00000028201_LINE1245_Lhx8_D_N1	208
0	100	ENSMUSG00000028201_LINE1247_Lhx8_D_N1	209
0	100	ENSMUSG00000029112_LINE1250_Nkx11_I	210
0	100	ENSMUSG00000029546_LINE1251_Uncx_D_N2	211
0	100	ENSMUSG00000029556_LINE1254_Hnf1a_D_N2	212
0	100	ENSMUSG00000029706_LINE1261_Pax4_D_N1	213
0	100	ENSMUSG00000029736_LINE1264_Nobox_D_N2	214
0	100	ENSMUSG00000029754_LINE1266_Dlx6_I	215
0	100	ENSMUSG00000029755_LINE1267_Dlx5_D	216
0	100	ENSMUSG00000029844_LINE1268_Hoxa1_D	217
0	100	ENSMUSG00000031621_LINE1272_Isx_D	218
0	100	ENSMUSG00000031734_LINE1274_Irx3_D_N2	219
0	100	ENSMUSG00000032015_LINE1279_Pou2f3_D	220
0	100	ENSMUSG00000033080_LINE1282_Vsx1_D_N2	221
0	100	ENSMUSG00000034460_LINE1286_Six4_D	222
0	100	ENSMUSG00000034486_LINE1288_Gbx2_D_N2	223
0	100	ENSMUSG00000034777_LINE1291_Vax2_D	224
0	100	ENSMUSG00000035187_LINE1293_Nkx61_D	225
0	100	ENSMUSG00000035934_LINE1298_Pknox2_D_N1	226
0	100	ENSMUSG00000036144_LINE1302_Meox2_D	227
0	100	ENSMUSG00000036602_LINE1303_Alx1_D_N3	228
0	100	ENSMUSG00000038203_LINE1307_Hoxa13_D	229
0	100	ENSMUSG00000039095_LINE1322_En2_D_N2	230
0	100	ENSMUSG00000040310_LINE1330_Alx4_D_N1	231
0	100	ENSMUSG00000040726_LINE1334_Hesx1_I	232
0	100	ENSMUSG00000041420_LINE1340_Meis3_D_N1	233
0	100	ENSMUSG00000041578_LINE1342_Crx_D_N1	234
0	100	ENSMUSG00000041911_LINE1345_Dlx1_D_N2	235
0	100	ENSMUSG00000042448_LINE1348_Hoxd1_D	236
0	100	ENSMUSG00000043969_LINE1355_Emx2_D	237
0	100	ENSMUSG00000045515_LINE1360_Pou3f3_D	238
0	100	ENSMUSG00000045608_LINE1361_Dbx2_D	239
0	100	ENSMUSG00000047407_LINE1362_Tgif1_D	240
0	100	ENSMUSG00000048528_LINE1366_Nkx12_D	241
0	100	ENSMUSG00000048763_LINE1367_Hoxb3_D	242
0	100	ENSMUSG00000049691_LINE1369_Nkx32_D_N2	243
0	100	ENSMUSG00000051038_LINE1376_Rhox11_D_N4	244
0	100	ENSMUSG00000051367_LINE1380_Six1_D	245
0	100	ENSMUSG00000052534_LINE1382_Pbx1_D	246
0	100	ENSMUSG00000052621_LINE1383_Pou3f2_D	247
0	100	ENSMUSG00000053129_LINE1384_Gsx1_I	248
0	100	ENSMUSG00000054360_LINE1389_Bsx_D	249
0	100	ENSMUSG00000057156_LINE1393_Homez_D	250
0	100	ENSMUSG00000058665_LINE1394_En1_D_N1	251
0	100	ENSMUSG00000062175_LINE1403_Tgif2_D	252
0	100	ENSMUSG00000063672_LINE1405_Nkx63_I	253
0	100	ENSMUSG00000067724_LINE1410_Gbx1_D_N2	254
0	100	ENSMUSG00000068302_LINE1413_Noto_D	255
0	100	NP_0010765961_LINE6211_NP_0010765961_I_N11	256
0	100	NP_0010765961_LINE6214_NP_0010765961_I_N2	257
0	100	NP_0010765961_LINE6215_NP_0010765961_I_N4	258
0	100	NP_0010765961_LINE6216_NP_0010765961_I_N4	259
0	100	NP_0323002_LINE6275_NP_0323002_I_N8	260
0	100	NP_0832781_LINE6276_NP_0832781_I_N11	261
0	100	XP_0014736851_LINE1464_Nkx11_D_N7	262
0	100	XP_0036894501_LINE1465_Dobox4_D_N3	263
0	100	ENSMUSG00000027168_LINE1468_Pax6_D	264
0	100	ENSMUSG00000004842_LINE1469_Pou1f1_D_N3	265
0	100	ENSMUSG00000008496_LINE1472_Pou2f2_D_N1	266
0	100	ENSMUSG00000008496_LINE1473_Pou2f2_D_N1	267
0	100	ENSMUSG00000009734_LINE1475_Pou6f2_I	268
0	100	ENSMUSG00000024406_LINE1476_Pou5f1_D_N4	269
0	100	ENSMUSG00000026565_LINE1483_Pou2f1_D_N1	270
0	100	NP_0328751_LINE15940_Pit1_I_N1	271
0	100	NP_0328751_LINE15942_Pit1_I_N1	272
0	100	ENSMUSG00000045336_LINE1492_Hsfy2_I	273
0	100	ENSMUSG00000003184_LINE1496_Irf3_D	274
0	100	ENSMUSG00000075028_LINE1561_Prdm11_D	275
0	100	ENSMUSG00000034057_LINE1562_Gm239_I	276
0	100	ENSMUSG00000036098_LINE1563_Gm98_D	277
0	100	ENSMUSG00000002250_LINE1572_Ppard_I	278
0	100	ENSMUSG00000019803_LINE1594_Nr2e1_D_N1	279
0	100	ENSMUSG00000019803_LINE1595_Nr2e1_D_N1	280
0	100	ENSMUSG00000021055_LINE1597_Esr2_I	281
0	100	ENSMUSG00000022383_LINE1603_Ppara_I	282
0	100	ENSMUSG00000024431_LINE1607_Nr3c1_D	283
0	100	ENSMUSG00000028150_LINE1616_Rorc_I	284
0	100	ENSMUSG00000032238_LINE1621_Rora_D	285
0	100	ENSMUSG00000039656_LINE1629_Rxrb_D_N1	286
0	100	ENSMUSG00000059552_LINE1640_Trp53_D_N1	287
0	100	ENSMUSG00000059552_LINE1642_Trp53_D_N1	288
0	100	ENSMUSG00000001497_LINE1643_Pax9_I	289
0	100	ENSMUSG00000003847_LINE1653_Nfat5_I	290
0	100	ENSMUSG00000024927_LINE1657_Rela_D_N1	291
0	100	ENSMUSG00000027544_LINE1659_Nfatc2_I	292
0	100	ENSMUSG00000031902_LINE1661_Nfatc3_I	293
0	100	ENSMUSG00000033016_LINE1662_Nfatc1_I	294
0	100	ENSMUSG00000019900_LINE1664_Rfx6_I	295
0	100	ENSMUSG00000020037_LINE1665_Rfx4_D	296
0	100	ENSMUSG00000024206_LINE1666_Rfx2_D_N1	297
0	100	ENSMUSG00000031706_LINE1668_Rfx1_D	298
0	100	ENSMUSG00000040929_LINE1672_Rfx3_D_N1	299
0	100	ENSMUSG00000057173_LINE1673_Rfx8_I	300
0	100	ENSMUSG00000026222_LINE1678_Sp100_D	301
0	100	XP_0014735742_LINE1686_IRC900814_D_N3	302
0	100	ENSMUSG00000000567_LINE1701_Sox9_I	303
0	100	ENSMUSG00000000782_LINE1702_Tcf7_D_N1	304
0	100	ENSMUSG00000005442_LINE1706_Cic_D	305
0	100	ENSMUSG00000020232_LINE1710_Hmg20b_D	306
0	100	ENSMUSG00000024176_LINE1713_Sox8_D	307
0	100	ENSMUSG00000024985_LINE1715_Tcf7l2_D	308
0	100	ENSMUSG00000025902_LINE1717_Sox17_D_N1	309
0	100	ENSMUSG00000025902_LINE1718_Sox17_D_N1	310
0	100	ENSMUSG00000025902_LINE1720_Sox17_D_N1	311
0	100	ENSMUSG00000033006_LINE1725_Sox10_D_N1	312
0	100	ENSMUSG00000033006_LINE1727_Sox10_D_N1	313
0	100	ENSMUSG00000033006_LINE1728_Sox10_D_N1	314
0	100	ENSMUSG00000040489_LINE1733_Sox30_D	315
0	100	ENSMUSG00000041287_LINE1736_Sox15_D	316
0	100	ENSMUSG00000041540_LINE1737_Sox5_D_N2	317
0	100	ENSMUSG00000045179_LINE1741_Sox3_D_N1	318
0	100	ENSMUSG00000046470_LINE1746_Sox18_D	319
0	100	ENSMUSG00000051817_LINE1749_Sox12_D	320
0	100	ENSMUSG00000051910_LINE1750_Sox6_D_N1	321
0	100	ENSMUSG00000053747_LINE1752_Sox14_D_N1	322
0	100	ENSMUSG00000053747_LINE1753_Sox14_D_N1	323
0	100	ENSMUSG00000055799_LINE1755_Tcf7l1_D	324
0	100	ENSMUSG00000061517_LINE1757_Sox21_D	325
0	100	ENSMUSG00000063060_LINE1759_Sox7_D	326
0	100	ENSMUSG00000063632_LINE1761_Sox11_D_N1	327
0	100	ENSMUSG00000079994_LINE1775_ENSMUSG00000079994_D_N1	328
0	100	ENSMUSG00000079994_LINE1777_ENSMUSG00000079994_D_N1	329
0	100	ENSMUSG00000002147_LINE1780_Stat6_D	330
0	100	ENSMUSG00000004040_LINE1781_Stat3_D	331
0	100	ENSMUSG00000004043_LINE1782_Stat5a_I	332
0	100	ENSMUSG00000020919_LINE1783_Stat5b_I	333
0	100	ENSMUSG00000026104_LINE1784_Stat1_I	334
0	100	ENSMUSG00000000093_LINE1787_Tbx2_D_N1	335
0	100	ENSMUSG00000000093_LINE1788_Tbx2_D_N1	336
0	100	ENSMUSG00000000094_LINE1789_Tbx4_D	337
0	100	ENSMUSG00000009097_LINE1791_Tbx1_D	338
0	100	ENSMUSG00000018263_LINE1793_Tbx5_D	339
0	100	ENSMUSG00000018604_LINE1794_Tbx3_D	340
0	100	ENSMUSG00000031965_LINE1799_Tbx20_D	341
0	100	ENSMUSG00000032446_LINE1801_Eomes_D	342
0	100	ENSMUSG00000035033_LINE1802_Tbr1_D	343
0	100	ENSMUSG00000037477_LINE1803_Tbx10_I	344
0	100	ENSMUSG00000062327_LINE1804_T_D	345
0	100	ENSMUSG00000046711_LINE73_Hmga1_I_N2	346
0	100	ENSMUSG00000046711_LINE78_Hmga1_I_N1	347
0	100	ENSMUSG00000078249_LINE85_Hmga1rs1_I_N2	348
0	100	ENSMUSG00000078249_LINE90_Hmga1rs1_I_N1	349
0	100	ENSMUSG00000000435_LINE113_Myf5_I_N8	350
0	100	ENSMUSG00000000435_LINE112_Myf5_I_N1	351
0	100	ENSMUSG00000000435_LINE101_Myf5_I_N1	352
0	100	ENSMUSG00000000435_LINE104_Myf5_I_N1	353
0	100	ENSMUSG00000000435_LINE114_Myf5_I_N1	354
0	100	ENSMUSG00000000435_LINE110_Myf5_I_N1	355
0	100	ENSMUSG00000000435_LINE111_Myf5_I_N1	356
0	100	ENSMUSG00000005373_LINE127_Mlxipl_I_N1	357
0	100	ENSMUSG00000020052_LINE158_Ascl1_I_N2	358
0	100	ENSMUSG00000028417_LINE214_Tal2_I_N1	359
0	100	ENSMUSG00000028417_LINE220_Tal2_I_N1	360
0	100	ENSMUSG00000028717_LINE236_Tal1_I_N4	361
0	100	ENSMUSG00000028717_LINE239_Tal1_I_N1	362
0	100	ENSMUSG00000034041_LINE273_Lyl1_I_N4	363
0	100	ENSMUSG00000034041_LINE276_Lyl1_I_N1	364
0	100	ENSMUSG00000034701_LINE287_Neurod1_I_N2	365
0	100	ENSMUSG00000034701_LINE283_Neurod1_I_N1	366
0	100	ENSMUSG00000034701_LINE293_Neurod1_I_N1	367
0	100	ENSMUSG00000035799_LINE295_Twist1_I_N1	368
0	100	ENSMUSG00000035799_LINE301_Twist1_I_N1	369
0	100	ENSMUSG00000037984_LINE325_Neurod6_I_N2	370
0	100	ENSMUSG00000037984_LINE321_Neurod6_I_N1	371
0	100	ENSMUSG00000037984_LINE331_Neurod6_I_N1	372
0	100	ENSMUSG00000048015_LINE417_Neurod4_I_N2	373
0	100	ENSMUSG00000048015_LINE413_Neurod4_I_N1	374
0	100	ENSMUSG00000048015_LINE423_Neurod4_I_N1	375
0	100	ENSMUSG00000025408_LINE538_Ddit3_I	376
0	100	ENSMUSG00000026630_LINE555_Batf3_I_N1	377
0	100	ENSMUSG00000034266_LINE575_Batf_I_N1	378
0	100	ENSMUSG00000038539_LINE587_Atf5_I_N1	379
0	100	ENSMUSG00000038539_LINE594_Atf5_I_N1	380
0	100	ENSMUSG00000047591_LINE639_Mafa_I_N4	381
0	100	ENSMUSG00000047591_LINE638_Mafa_I_N1	382
0	100	ENSMUSG00000047591_LINE641_Mafa_I_N1	383
0	100	ENSMUSG00000047591_LINE643_Mafa_I_N1	384
0	100	ENSMUSG00000055435_LINE664_Maf_I_N4	385
0	100	ENSMUSG00000055435_LINE663_Maf_I_N1	386
0	100	ENSMUSG00000055435_LINE666_Maf_I_N1	387
0	100	ENSMUSG00000055435_LINE668_Maf_I_N1	388
0	100	ENSMUSG00000000078_LINE727_Klf6_I_N1	389
0	100	ENSMUSG00000000078_LINE728_Klf6_I_N1	390
0	100	ENSMUSG00000002578_LINE767_Ikzf4_I_N2	391
0	100	ENSMUSG00000015501_LINE830_Hivep2_I_N1	392
0	100	ENSMUSG00000020653_LINE897_Klf11_I_N3	393
0	100	ENSMUSG00000022676_LINE952_Snai2_I_N5	394
0	100	ENSMUSG00000022811_LINE957_Zfp148_I_N1	395
0	100	ENSMUSG00000025407_LINE1014_Gli1_I_N6	396
0	100	ENSMUSG00000027109_LINE1055_Sp3_I_N13	397
0	100	ENSMUSG00000027109_LINE1060_Sp3_I_N5	398
0	100	ENSMUSG00000027109_LINE1029_Sp3_I_N1	399
0	100	ENSMUSG00000027109_LINE1030_Sp3_I_N1	400
0	100	ENSMUSG00000027109_LINE1034_Sp3_I_N1	401
0	100	ENSMUSG00000027109_LINE1062_Sp3_I_N1	402
0	100	ENSMUSG00000028634_LINE1076_Hivep3_I_N1	403
0	100	ENSMUSG00000029178_LINE1088_Klf3_I_N1	404
0	100	ENSMUSG00000029178_LINE1089_Klf3_I_N1	405
0	100	ENSMUSG00000029249_LINE1131_Rest_I_N10	406
0	100	ENSMUSG00000029249_LINE1122_Rest_I_N1	407
0	100	ENSMUSG00000029249_LINE1130_Rest_I_N1	408
0	100	ENSMUSG00000037465_LINE1224_Klf10_I	409
0	100	ENSMUSG00000046873_LINE1363_Mbtps2_I_N1	410
0	100	ENSMUSG00000048402_LINE1433_Gli2_I_N6	411
0	100	ENSMUSG00000049295_LINE1480_Zfp219_I	412
0	100	ENSMUSG00000052040_LINE1535_Klf13_I_N3	413
0	100	ENSMUSG00000052040_LINE1529_Klf13_I_N1	414
0	100	ENSMUSG00000052942_LINE1545_Glis3_I_N3	415
0	100	ENSMUSG00000055148_LINE1577_Klf2_I_N1	416
0	100	ENSMUSG00000055148_LINE1578_Klf2_I_N1	417
0	100	ENSMUSG00000018554_LINE2089_Ybx2_I_N1	418
0	100	ENSMUSG00000028639_LINE2093_Ybx1_I_N1	419
0	100	ENSMUSG00000030189_LINE2097_Csda_I_N1	420
0	100	ENSMUSG00000043013_LINE2138_Onecut1_I_N5	421
0	100	ENSMUSG00000043013_LINE2143_Onecut1_I_N1	422
0	100	ENSMUSG00000045991_LINE2158_Onecut2_I_N5	423
0	100	ENSMUSG00000045991_LINE2163_Onecut2_I_N1	424
0	100	ENSMUSG00000022895_LINE2474_Ets2_I_N1	425
0	100	ENSMUSG00000022895_LINE2446_Ets2_I_N1	426
0	100	ENSMUSG00000022895_LINE2475_Ets2_I_N1	427
0	100	ENSMUSG00000033713_LINE2786_Foxn3_I_N1	428
0	100	ENSMUSG00000033713_LINE2795_Foxn3_I_N1	429
0	100	ENSMUSG00000033713_LINE2797_Foxn3_I_N1	430
