ImmGenATAC1219.peak_19	human531027
ImmGenATAC1219.peak_723	human533925
ImmGenATAC1219.peak_725	human533926
ImmGenATAC1219.peak_727	human533927
ImmGenATAC1219.peak_731	human533933
ImmGenATAC1219.peak_732	human533934
ImmGenATAC1219.peak_734	human533935
ImmGenATAC1219.peak_735	human533937
ImmGenATAC1219.peak_736	human533938
ImmGenATAC1219.peak_739	human533940
ImmGenATAC1219.peak_747	human533944
ImmGenATAC1219.peak_761	human533954
ImmGenATAC1219.peak_782	human534004
ImmGenATAC1219.peak_792	human534040
ImmGenATAC1219.peak_805	human534050
ImmGenATAC1219.peak_811	human534053
ImmGenATAC1219.peak_815	human534055
ImmGenATAC1219.peak_816	human534056
ImmGenATAC1219.peak_817	human534057
ImmGenATAC1219.peak_819	human534058
ImmGenATAC1219.peak_820	human534059
ImmGenATAC1219.peak_825	human534070
ImmGenATAC1219.peak_826	human534072
ImmGenATAC1219.peak_830	human534079
ImmGenATAC1219.peak_831	human534082
ImmGenATAC1219.peak_872	human534137
ImmGenATAC1219.peak_873	human534138
ImmGenATAC1219.peak_875	human534142
ImmGenATAC1219.peak_882	human534159
ImmGenATAC1219.peak_933	human534205
ImmGenATAC1219.peak_941	human534208
ImmGenATAC1219.peak_942	human534209
ImmGenATAC1219.peak_951	human534213
ImmGenATAC1219.peak_965	human534221
ImmGenATAC1219.peak_969	human534226
ImmGenATAC1219.peak_970	human534227
ImmGenATAC1219.peak_984	human534242
ImmGenATAC1219.peak_988	human534245
ImmGenATAC1219.peak_1003	human534274
ImmGenATAC1219.peak_1008	human534281
ImmGenATAC1219.peak_1010	human534282
ImmGenATAC1219.peak_1011	human534283
ImmGenATAC1219.peak_1013	human534284
ImmGenATAC1219.peak_1014	human534285
ImmGenATAC1219.peak_1030	human534304
ImmGenATAC1219.peak_1031	human534309
ImmGenATAC1219.peak_1032	human534311
ImmGenATAC1219.peak_1046	human534337
ImmGenATAC1219.peak_1050	human534340
ImmGenATAC1219.peak_1066	human534366
ImmGenATAC1219.peak_1070	human534369
ImmGenATAC1219.peak_1075	human534378
ImmGenATAC1219.peak_1081	human534385
ImmGenATAC1219.peak_1085	human534388
ImmGenATAC1219.peak_1088	human534393
ImmGenATAC1219.peak_1093	human534394
ImmGenATAC1219.peak_1101	human534407
ImmGenATAC1219.peak_1102	human534408
ImmGenATAC1219.peak_1106	human534415
ImmGenATAC1219.peak_1127	human534434
ImmGenATAC1219.peak_1128	human534435
ImmGenATAC1219.peak_1142	human534448
ImmGenATAC1219.peak_1149	human534453
ImmGenATAC1219.peak_1150	human534454
ImmGenATAC1219.peak_1152	human534458
ImmGenATAC1219.peak_1154	human534461
ImmGenATAC1219.peak_1156	human534462
ImmGenATAC1219.peak_1159	human534463
ImmGenATAC1219.peak_1174	human534474
ImmGenATAC1219.peak_1180	human534480
ImmGenATAC1219.peak_1187	human534495
ImmGenATAC1219.peak_1190	human534496
ImmGenATAC1219.peak_1191	human534498
ImmGenATAC1219.peak_1195	human534500
ImmGenATAC1219.peak_1197	human534501
ImmGenATAC1219.peak_1201	human534504
ImmGenATAC1219.peak_1204	human534505
ImmGenATAC1219.peak_1205	human534506
ImmGenATAC1219.peak_1206	human534507
ImmGenATAC1219.peak_1228	human534522
ImmGenATAC1219.peak_1245	human534534
ImmGenATAC1219.peak_1254	human534551
ImmGenATAC1219.peak_1256	human534552
ImmGenATAC1219.peak_1263	human534559
ImmGenATAC1219.peak_1264	human534560
ImmGenATAC1219.peak_1265	human534561
ImmGenATAC1219.peak_1266	human534562
ImmGenATAC1219.peak_1271	human534567
ImmGenATAC1219.peak_1272	human534568
ImmGenATAC1219.peak_1277	human534569
ImmGenATAC1219.peak_1282	human534574
ImmGenATAC1219.peak_1286	human534576
ImmGenATAC1219.peak_1299	human534582
ImmGenATAC1219.peak_1301	human534584
ImmGenATAC1219.peak_1303	human534587
ImmGenATAC1219.peak_1310	human534590
ImmGenATAC1219.peak_1323	human534598
ImmGenATAC1219.peak_1326	human534600
ImmGenATAC1219.peak_1340	human534610
ImmGenATAC1219.peak_1357	human534619
ImmGenATAC1219.peak_1359	human534620
ImmGenATAC1219.peak_1360	human534621
ImmGenATAC1219.peak_1362	human534622
ImmGenATAC1219.peak_1366	human534626
ImmGenATAC1219.peak_1367	human534627
ImmGenATAC1219.peak_1372	human534631
ImmGenATAC1219.peak_1400	human534644
ImmGenATAC1219.peak_1403	human534649
ImmGenATAC1219.peak_1413	human534651
ImmGenATAC1219.peak_1422	human534657
ImmGenATAC1219.peak_1426	human534658
ImmGenATAC1219.peak_1433	human534665
ImmGenATAC1219.peak_1439	human534666
ImmGenATAC1219.peak_1469	human534670
ImmGenATAC1219.peak_1492	human534678
ImmGenATAC1219.peak_1493	human534679
ImmGenATAC1219.peak_1498	human534687
ImmGenATAC1219.peak_1500	human534688
ImmGenATAC1219.peak_1501	human534689
ImmGenATAC1219.peak_1507	human534699
ImmGenATAC1219.peak_1510	human534704
ImmGenATAC1219.peak_1520	human534713
ImmGenATAC1219.peak_1528	human534720
ImmGenATAC1219.peak_1529	human534721
ImmGenATAC1219.peak_1530	human534722
ImmGenATAC1219.peak_1539	human534730
ImmGenATAC1219.peak_1541	human534731
ImmGenATAC1219.peak_1547	human534747
ImmGenATAC1219.peak_1552	human534752
ImmGenATAC1219.peak_1556	human534762
ImmGenATAC1219.peak_1559	human534767
ImmGenATAC1219.peak_1560	human534768
ImmGenATAC1219.peak_1561	human534769
ImmGenATAC1219.peak_1562	human534770
ImmGenATAC1219.peak_1565	human534774
ImmGenATAC1219.peak_1567	human534780
ImmGenATAC1219.peak_1577	human534797
ImmGenATAC1219.peak_1578	human534803
ImmGenATAC1219.peak_1579	human534804
ImmGenATAC1219.peak_1581	human534809
ImmGenATAC1219.peak_1588	human534825
ImmGenATAC1219.peak_1589	human534826
ImmGenATAC1219.peak_1603	human534842
ImmGenATAC1219.peak_1609	human534859
ImmGenATAC1219.peak_1618	human534871
ImmGenATAC1219.peak_1626	human534885
ImmGenATAC1219.peak_1630	human534888
ImmGenATAC1219.peak_1632	human534891
ImmGenATAC1219.peak_1646	human534905
ImmGenATAC1219.peak_1652	human534925
ImmGenATAC1219.peak_1657	human534928
ImmGenATAC1219.peak_1671	human534945
ImmGenATAC1219.peak_1674	human534947
ImmGenATAC1219.peak_1678	human534954
ImmGenATAC1219.peak_1682	human534958
ImmGenATAC1219.peak_1686	human534963
ImmGenATAC1219.peak_1689	human534983
ImmGenATAC1219.peak_1695	human534993
ImmGenATAC1219.peak_1708	human535004
ImmGenATAC1219.peak_1711	human535010
ImmGenATAC1219.peak_1713	human535011
ImmGenATAC1219.peak_1715	human535012
ImmGenATAC1219.peak_1716	human535013
ImmGenATAC1219.peak_1719	human535016
ImmGenATAC1219.peak_1736	human535029
ImmGenATAC1219.peak_1742	human535030
ImmGenATAC1219.peak_1753	human535039
ImmGenATAC1219.peak_1756	human535040
ImmGenATAC1219.peak_1772	human535048
ImmGenATAC1219.peak_1776	human535051
ImmGenATAC1219.peak_1792	human535080
ImmGenATAC1219.peak_1793	human535083
ImmGenATAC1219.peak_1805	human535096
ImmGenATAC1219.peak_1806	human535097
ImmGenATAC1219.peak_1822	human535113
ImmGenATAC1219.peak_1831	human535136
ImmGenATAC1219.peak_1833	human535137
ImmGenATAC1219.peak_1835	human535138
ImmGenATAC1219.peak_1837	human535139
ImmGenATAC1219.peak_1847	human535166
ImmGenATAC1219.peak_1851	human535172
ImmGenATAC1219.peak_1855	human535175
ImmGenATAC1219.peak_1856	human535176
ImmGenATAC1219.peak_1864	human535183
ImmGenATAC1219.peak_1866	human535184
ImmGenATAC1219.peak_1871	human535187
ImmGenATAC1219.peak_1878	human535190
ImmGenATAC1219.peak_1880	human535191
ImmGenATAC1219.peak_1885	human535193
ImmGenATAC1219.peak_1896	human535202
ImmGenATAC1219.peak_1913	human535225
ImmGenATAC1219.peak_1915	human535228
ImmGenATAC1219.peak_1920	human535233
ImmGenATAC1219.peak_1923	human535240
ImmGenATAC1219.peak_1926	human535241
ImmGenATAC1219.peak_1930	human535259
ImmGenATAC1219.peak_1933	human535263
ImmGenATAC1219.peak_1945	human535295
ImmGenATAC1219.peak_1959	human535316
ImmGenATAC1219.peak_1961	human535319
ImmGenATAC1219.peak_1964	human535321
ImmGenATAC1219.peak_1966	human535324
ImmGenATAC1219.peak_1988	human535342
ImmGenATAC1219.peak_1997	human262835
ImmGenATAC1219.peak_1998	human227536
ImmGenATAC1219.peak_1999	human227535
ImmGenATAC1219.peak_2010	human462282
ImmGenATAC1219.peak_2012	human462290
ImmGenATAC1219.peak_2026	human462319
ImmGenATAC1219.peak_2029	human462321
ImmGenATAC1219.peak_2030	human462324
ImmGenATAC1219.peak_2039	human462399
ImmGenATAC1219.peak_2044	human462403
ImmGenATAC1219.peak_2047	human462408
ImmGenATAC1219.peak_2058	human462421
ImmGenATAC1219.peak_2060	human462434
ImmGenATAC1219.peak_2067	human462451
ImmGenATAC1219.peak_2068	human462454
ImmGenATAC1219.peak_2069	human462463
ImmGenATAC1219.peak_2077	human462492
ImmGenATAC1219.peak_2081	human462496
ImmGenATAC1219.peak_2084	human462499
ImmGenATAC1219.peak_2089	human462501
ImmGenATAC1219.peak_2090	human462503
ImmGenATAC1219.peak_2091	human462506
ImmGenATAC1219.peak_2096	human462514
ImmGenATAC1219.peak_2098	human462523
ImmGenATAC1219.peak_2103	human462531
ImmGenATAC1219.peak_2109	human462541
ImmGenATAC1219.peak_2115	human462551
ImmGenATAC1219.peak_2121	human462560
ImmGenATAC1219.peak_2124	human462573
ImmGenATAC1219.peak_2126	human462574
ImmGenATAC1219.peak_2127	human462575
ImmGenATAC1219.peak_2136	human462584
ImmGenATAC1219.peak_2138	human462588
ImmGenATAC1219.peak_2143	human462592
ImmGenATAC1219.peak_2147	human462599
ImmGenATAC1219.peak_2152	human462606
ImmGenATAC1219.peak_2154	human462607
ImmGenATAC1219.peak_2166	human462615
ImmGenATAC1219.peak_2170	human462620
ImmGenATAC1219.peak_2172	human462622
ImmGenATAC1219.peak_2174	human462623
ImmGenATAC1219.peak_2175	human462631
ImmGenATAC1219.peak_2176	human462635
ImmGenATAC1219.peak_2180	human462637
ImmGenATAC1219.peak_2183	human462640
ImmGenATAC1219.peak_2191	human462647
ImmGenATAC1219.peak_2193	human462648
ImmGenATAC1219.peak_2194	human462650
ImmGenATAC1219.peak_2195	human462651
ImmGenATAC1219.peak_2197	human462652
ImmGenATAC1219.peak_2198	human462655
ImmGenATAC1219.peak_2199	human462657
ImmGenATAC1219.peak_2201	human462658
ImmGenATAC1219.peak_2215	human462666
ImmGenATAC1219.peak_2216	human462668
ImmGenATAC1219.peak_2217	human462671
ImmGenATAC1219.peak_2219	human462672
ImmGenATAC1219.peak_2223	human462677
ImmGenATAC1219.peak_2229	human462680
ImmGenATAC1219.peak_2231	human462682
ImmGenATAC1219.peak_2234	human462683
ImmGenATAC1219.peak_2240	human462700
ImmGenATAC1219.peak_2242	human462707
ImmGenATAC1219.peak_2244	human462713
ImmGenATAC1219.peak_2272	human537964
ImmGenATAC1219.peak_2307	human465412
ImmGenATAC1219.peak_2308	human465409
ImmGenATAC1219.peak_2322	human465413
ImmGenATAC1219.peak_2334	human465401
ImmGenATAC1219.peak_2335	human465400
ImmGenATAC1219.peak_2338	human465397
ImmGenATAC1219.peak_2341	human465396
ImmGenATAC1219.peak_2347	human465390
ImmGenATAC1219.peak_2354	human465384
ImmGenATAC1219.peak_2356	human465380
ImmGenATAC1219.peak_2361	human465372
ImmGenATAC1219.peak_2377	human465356
ImmGenATAC1219.peak_2378	human465353
ImmGenATAC1219.peak_2407	human465316
ImmGenATAC1219.peak_2411	human465309
ImmGenATAC1219.peak_2413	human465308
ImmGenATAC1219.peak_2414	human465306
ImmGenATAC1219.peak_2415	human465305
ImmGenATAC1219.peak_2421	human465294
ImmGenATAC1219.peak_2432	human465289
ImmGenATAC1219.peak_2439	human465265
ImmGenATAC1219.peak_2440	human465256
ImmGenATAC1219.peak_2441	human465255
ImmGenATAC1219.peak_2444	human465254
ImmGenATAC1219.peak_2445	human465253
ImmGenATAC1219.peak_2446	human465252
ImmGenATAC1219.peak_2447	human465251
ImmGenATAC1219.peak_2448	human465250
ImmGenATAC1219.peak_2449	human465247
ImmGenATAC1219.peak_2465	human465208
ImmGenATAC1219.peak_2473	human465177
ImmGenATAC1219.peak_2482	human465156
ImmGenATAC1219.peak_2503	human465129
ImmGenATAC1219.peak_2511	human465127
ImmGenATAC1219.peak_2514	human465118
ImmGenATAC1219.peak_2521	human465105
ImmGenATAC1219.peak_2523	human465103
ImmGenATAC1219.peak_2524	human465100
ImmGenATAC1219.peak_2525	human465098
ImmGenATAC1219.peak_2529	human465096
ImmGenATAC1219.peak_2531	human465092
ImmGenATAC1219.peak_2533	human465082
ImmGenATAC1219.peak_2535	human465077
ImmGenATAC1219.peak_2536	human465076
ImmGenATAC1219.peak_2537	human465075
ImmGenATAC1219.peak_2552	human465056
ImmGenATAC1219.peak_2554	human465055
ImmGenATAC1219.peak_2556	human465054
ImmGenATAC1219.peak_2557	human465053
ImmGenATAC1219.peak_2558	human465052
ImmGenATAC1219.peak_2568	human465044
ImmGenATAC1219.peak_2576	human465028
ImmGenATAC1219.peak_2595	human464990
ImmGenATAC1219.peak_2601	human464980
ImmGenATAC1219.peak_2602	human464979
ImmGenATAC1219.peak_2603	human464978
ImmGenATAC1219.peak_2610	human464968
ImmGenATAC1219.peak_2614	human464965
ImmGenATAC1219.peak_2621	human464962
ImmGenATAC1219.peak_2626	human464954
ImmGenATAC1219.peak_2649	human464925
ImmGenATAC1219.peak_2655	human464916
ImmGenATAC1219.peak_2657	human464913
ImmGenATAC1219.peak_2658	human464912
ImmGenATAC1219.peak_2659	human464911
ImmGenATAC1219.peak_2688	human464884
ImmGenATAC1219.peak_2703	human464871
ImmGenATAC1219.peak_2705	human464870
ImmGenATAC1219.peak_2709	human464866
ImmGenATAC1219.peak_2711	human464865
ImmGenATAC1219.peak_2720	human464855
ImmGenATAC1219.peak_2721	human464854
ImmGenATAC1219.peak_2723	human464842
ImmGenATAC1219.peak_2724	human464841
ImmGenATAC1219.peak_2727	human464829
ImmGenATAC1219.peak_2733	human464824
ImmGenATAC1219.peak_2734	human464822
ImmGenATAC1219.peak_2741	human464813
ImmGenATAC1219.peak_2743	human464811
ImmGenATAC1219.peak_2747	human464802
ImmGenATAC1219.peak_2752	human464798
ImmGenATAC1219.peak_2789	human464783
ImmGenATAC1219.peak_2790	human464777
ImmGenATAC1219.peak_2791	human464776
ImmGenATAC1219.peak_2794	human464769
ImmGenATAC1219.peak_2799	human464754
ImmGenATAC1219.peak_2800	human464753
ImmGenATAC1219.peak_2802	human464752
ImmGenATAC1219.peak_2806	human464744
ImmGenATAC1219.peak_2814	human464739
ImmGenATAC1219.peak_2819	human464735
ImmGenATAC1219.peak_2825	human464731
ImmGenATAC1219.peak_2850	human464705
ImmGenATAC1219.peak_2855	human464684
ImmGenATAC1219.peak_2860	human464622
ImmGenATAC1219.peak_2863	human464613
ImmGenATAC1219.peak_2864	human464600
ImmGenATAC1219.peak_2914	human464222
ImmGenATAC1219.peak_2916	human464216
ImmGenATAC1219.peak_2918	human464200
ImmGenATAC1219.peak_2919	human464197
ImmGenATAC1219.peak_2921	human464194
ImmGenATAC1219.peak_2931	human464170
ImmGenATAC1219.peak_2938	human464162
ImmGenATAC1219.peak_2939	human464161
ImmGenATAC1219.peak_2956	human464120
ImmGenATAC1219.peak_2958	human464119
ImmGenATAC1219.peak_2960	human464118
ImmGenATAC1219.peak_2961	human464117
ImmGenATAC1219.peak_2963	human464116
ImmGenATAC1219.peak_2987	human464098
ImmGenATAC1219.peak_2989	human464090
ImmGenATAC1219.peak_2991	human464088
ImmGenATAC1219.peak_2993	human464087
ImmGenATAC1219.peak_3000	human464079
ImmGenATAC1219.peak_3002	human464077
ImmGenATAC1219.peak_3005	human464075
ImmGenATAC1219.peak_3032	human464054
ImmGenATAC1219.peak_3034	human464049
ImmGenATAC1219.peak_3035	human464048
ImmGenATAC1219.peak_3037	human464039
ImmGenATAC1219.peak_3039	human585084
ImmGenATAC1219.peak_3056	human79097
ImmGenATAC1219.peak_3068	human463956
ImmGenATAC1219.peak_3108	human463879
ImmGenATAC1219.peak_3132	human463846
ImmGenATAC1219.peak_3145	human463818
ImmGenATAC1219.peak_3147	human463795
ImmGenATAC1219.peak_3153	human463789
ImmGenATAC1219.peak_3157	human463786
ImmGenATAC1219.peak_3161	human463764
ImmGenATAC1219.peak_3169	human463745
ImmGenATAC1219.peak_3170	human463743
ImmGenATAC1219.peak_3182	human463733
ImmGenATAC1219.peak_3189	human463730
ImmGenATAC1219.peak_3190	human463729
ImmGenATAC1219.peak_3196	human463722
ImmGenATAC1219.peak_3199	human463716
ImmGenATAC1219.peak_3202	human463713
ImmGenATAC1219.peak_3203	human463709
ImmGenATAC1219.peak_3230	human463679
ImmGenATAC1219.peak_3234	human529541
ImmGenATAC1219.peak_3239	human463664
ImmGenATAC1219.peak_3247	human463645
ImmGenATAC1219.peak_3256	human463639
ImmGenATAC1219.peak_3262	human463634
ImmGenATAC1219.peak_3263	human463633
ImmGenATAC1219.peak_3265	human463632
ImmGenATAC1219.peak_3284	human463608
ImmGenATAC1219.peak_3294	human463586
ImmGenATAC1219.peak_3306	human463578
ImmGenATAC1219.peak_3309	human463575
ImmGenATAC1219.peak_3311	human463574
ImmGenATAC1219.peak_3313	human463573
ImmGenATAC1219.peak_3314	human463572
ImmGenATAC1219.peak_3315	human463571
ImmGenATAC1219.peak_3316	human463570
ImmGenATAC1219.peak_3317	human463568
ImmGenATAC1219.peak_3318	human463566
ImmGenATAC1219.peak_3321	human463565
ImmGenATAC1219.peak_3332	human463552
ImmGenATAC1219.peak_3333	human463551
ImmGenATAC1219.peak_3339	human463540
ImmGenATAC1219.peak_3345	human463534
ImmGenATAC1219.peak_3346	human463533
ImmGenATAC1219.peak_3348	human463532
ImmGenATAC1219.peak_3349	human463526
ImmGenATAC1219.peak_3350	human463525
ImmGenATAC1219.peak_3351	human463524
ImmGenATAC1219.peak_3352	human463522
ImmGenATAC1219.peak_3368	human463507
ImmGenATAC1219.peak_3372	human463502
ImmGenATAC1219.peak_3375	human463496
ImmGenATAC1219.peak_3376	human463495
ImmGenATAC1219.peak_3377	human463491
ImmGenATAC1219.peak_3392	human463470
ImmGenATAC1219.peak_3393	human463468
ImmGenATAC1219.peak_3404	human463447
ImmGenATAC1219.peak_3406	human463441
ImmGenATAC1219.peak_3419	human463433
ImmGenATAC1219.peak_3423	human463431
ImmGenATAC1219.peak_3427	human463428
ImmGenATAC1219.peak_3430	human463422
ImmGenATAC1219.peak_3432	human463421
ImmGenATAC1219.peak_3434	human463419
ImmGenATAC1219.peak_3461	human463390
ImmGenATAC1219.peak_3468	human463383
ImmGenATAC1219.peak_3474	human282883
ImmGenATAC1219.peak_3475	human282884
ImmGenATAC1219.peak_3476	human282885
ImmGenATAC1219.peak_3481	human282899
ImmGenATAC1219.peak_3484	human282901
ImmGenATAC1219.peak_3489	human282904
ImmGenATAC1219.peak_3492	human282908
ImmGenATAC1219.peak_3494	human282909
ImmGenATAC1219.peak_3495	human282910
ImmGenATAC1219.peak_3547	human282944
ImmGenATAC1219.peak_3549	human282946
ImmGenATAC1219.peak_3561	human282988
ImmGenATAC1219.peak_3564	human282989
ImmGenATAC1219.peak_3569	human283008
ImmGenATAC1219.peak_3579	human283030
ImmGenATAC1219.peak_3580	human283031
ImmGenATAC1219.peak_3588	human283049
ImmGenATAC1219.peak_3589	human283050
ImmGenATAC1219.peak_3592	human283051
ImmGenATAC1219.peak_3593	human283052
ImmGenATAC1219.peak_3594	human283053
ImmGenATAC1219.peak_3595	human283060
ImmGenATAC1219.peak_3597	human283061
ImmGenATAC1219.peak_3598	human283062
ImmGenATAC1219.peak_3600	human283068
ImmGenATAC1219.peak_3618	human283079
ImmGenATAC1219.peak_3626	human283085
ImmGenATAC1219.peak_3627	human283086
ImmGenATAC1219.peak_3633	human283095
ImmGenATAC1219.peak_3646	human283119
ImmGenATAC1219.peak_3648	human282825
ImmGenATAC1219.peak_3669	human282730
ImmGenATAC1219.peak_3697	human282674
ImmGenATAC1219.peak_3724	human282658
ImmGenATAC1219.peak_3753	human282602
ImmGenATAC1219.peak_3756	human282596
ImmGenATAC1219.peak_3760	human282591
ImmGenATAC1219.peak_3777	human282566
ImmGenATAC1219.peak_3782	human282547
ImmGenATAC1219.peak_3786	human282538
ImmGenATAC1219.peak_3797	human282520
ImmGenATAC1219.peak_3798	human282518
ImmGenATAC1219.peak_3799	human282517
ImmGenATAC1219.peak_3808	human282506
ImmGenATAC1219.peak_3818	human282497
ImmGenATAC1219.peak_3829	human282490
ImmGenATAC1219.peak_3856	human282469
ImmGenATAC1219.peak_3857	human282465
ImmGenATAC1219.peak_3858	human282464
ImmGenATAC1219.peak_3860	human282463
ImmGenATAC1219.peak_3861	human282460
ImmGenATAC1219.peak_3863	human282456
ImmGenATAC1219.peak_3864	human282448
ImmGenATAC1219.peak_3869	human282437
ImmGenATAC1219.peak_3870	human282436
ImmGenATAC1219.peak_3871	human282435
ImmGenATAC1219.peak_3873	human282432
ImmGenATAC1219.peak_3876	human282422
ImmGenATAC1219.peak_3887	human282400
ImmGenATAC1219.peak_3889	human282399
ImmGenATAC1219.peak_3923	human282372
ImmGenATAC1219.peak_3925	human282369
ImmGenATAC1219.peak_3930	human282367
ImmGenATAC1219.peak_3932	human275934
ImmGenATAC1219.peak_3933	human275935
ImmGenATAC1219.peak_3934	human480481
ImmGenATAC1219.peak_3941	human275939
ImmGenATAC1219.peak_3942	human275941
ImmGenATAC1219.peak_3943	human275943
ImmGenATAC1219.peak_3946	human275944
ImmGenATAC1219.peak_3950	human275946
ImmGenATAC1219.peak_3951	human275948
ImmGenATAC1219.peak_3958	human275954
ImmGenATAC1219.peak_3960	human275955
ImmGenATAC1219.peak_3961	human275957
ImmGenATAC1219.peak_3962	human275960
ImmGenATAC1219.peak_3963	human275961
ImmGenATAC1219.peak_3965	human275965
ImmGenATAC1219.peak_3966	human275966
ImmGenATAC1219.peak_3967	human275967
ImmGenATAC1219.peak_3968	human275968
ImmGenATAC1219.peak_3971	human275969
ImmGenATAC1219.peak_3973	human275975
ImmGenATAC1219.peak_3976	human275987
ImmGenATAC1219.peak_3978	human275989
ImmGenATAC1219.peak_3980	human275990
ImmGenATAC1219.peak_3982	human276000
